id,gender,age_group,goc
185,Men,Middle,Low
186,Women,Middle,Mid
187,Women,Older,High
188,Men,Middle,Mid
189,Women,Older,Mid
190,Women,Middle,Mid
191,Men,Middle,Mid
192,Men,Middle,High
193,Women,Young,Low
194,Women,Middle,Mid
195,Women,Young,Low
196,Women,Older,Low
197,Women,Middle,Mid
198,Men,Middle,Low
199,Women,Middle,Low
200,Men,Middle,Low
201,Women,Older,High
202,Men,Middle,Mid
203,Men,Middle,High
204,Women,Middle,Mid
205,Women,Older,Mid
206,Women,Middle,Mid
207,Women,Young,Low
208,Women,Older,Mid
209,Women,Young,Mid
210,Women,Young,High
211,Men,Middle,Mid
212,Women,Young,Low
213,Women,Older,Mid
214,Women,Older,Low
215,Men,Middle,High
216,Women,Older,Mid
217,Men,Middle,Mid
218,Women,Older,Low
219,Women,Older,High
220,Women,Young,Low
221,Women,Young,Low
222,Women,Middle,Low
223,Women,Older,Low
224,Women,Older,High
225,Women,Older,High
226,Women,Older,Mid
227,Women,Middle,Low
228,Men,Middle,Mid
229,Women,Older,Mid
230,Women,Older,Low
231,Women,Young,Low
232,Women,Middle,Mid
233,Women,Older,Mid
234,Men,Middle,Low
235,Men,Middle,High
236,Men,Middle,Low
237,Women,Middle,Mid
238,Women,Older,Mid
239,Women,Older,Low
240,Men,Middle,Mid
241,Women,Middle,High
242,Women,Young,Low
243,Women,Young,High
244,Women,Young,Low
245,Women,Middle,High
246,Women,Older,Low
247,Women,Older,Mid
248,Women,Young,Low
249,Men,Middle,Mid
250,Women,Older,Low
251,Men,Middle,Mid
252,Women,Middle,Low
253,Women,Older,Mid
254,Women,Older,Mid
255,Women,Young,Low
256,Women,Older,High
257,Men,Middle,Low
258,Men,Middle,Mid
259,Men,Middle,Mid
260,Women,Older,High
261,Women,Young,Low
262,Women,Older,Low
263,Women,Middle,Mid
264,Women,Older,Mid
265,Women,Older,Low
266,Women,Middle,Low
267,Women,Older,Mid
268,Women,Young,Low
269,Women,Older,High
270,Women,Young,Low
271,Women,Young,Low
272,Men,Middle,Low
273,Women,Middle,High
274,Women,Young,Mid
275,Women,Older,High
276,Women,Older,Low
277,Women,Older,Mid
278,Men,Middle,Mid
279,Women,Older,Low
280,Men,Middle,Mid
281,Women,Young,Mid
282,Women,Young,Mid
283,Women,Young,Low
284,Women,Middle,Low
285,Men,Middle,Low
286,Women,Young,Low
287,Men,Middle,High
288,Women,Young,High
289,Women,Middle,Low
290,Women,Older,High
291,Women,Young,High
292,Women,Young,Low
293,Women,Older,Mid
294,Men,Middle,Mid
295,Women,Young,High
296,Women,Young,Mid
297,Men,Middle,Low
298,Men,Middle,Low
299,Women,Young,Mid
300,Women,Older,Low
301,Women,Older,Low
302,Women,Older,Low
303,Women,Middle,Mid
304,Women,Middle,Mid
305,Women,Older,Mid
306,Women,Middle,Mid
307,Men,Middle,High
308,Women,Young,High
309,Women,Middle,Mid
310,Men,Middle,Low
311,Men,Middle,Mid
312,Women,Young,High
313,Women,Middle,High
314,Women,Older,Low
315,Men,Middle,Low
316,Women,Older,High
317,Men,Middle,Mid
318,Men,Middle,Low
319,Women,Older,High
320,Women,Middle,Low
321,Women,Young,Mid
322,Women,Middle,Mid
323,Women,Older,Low
324,Women,Young,Low
325,Women,Young,High
326,Women,Young,High
327,Women,Older,Low
328,Women,Older,Mid
329,Women,Older,Low
330,Women,Middle,Mid
331,Women,Older,Mid
332,Men,Middle,Mid
333,Women,Middle,High
334,Men,Middle,Low
335,Women,Older,High
336,Women,Young,Low
337,Women,Middle,Mid
338,Women,Older,Mid
339,Women,Older,High
340,Women,Older,Mid
341,Women,Older,Mid
342,Women,Older,Low
343,Men,Middle,High
344,Women,Young,High
345,Women,Middle,Mid
346,Men,Middle,Mid
347,Men,Middle,Low
348,Women,Older,Mid
349,Women,Older,Mid
350,Men,Middle,High
351,Women,Older,High
352,Women,Young,Low
353,Women,Middle,Low
354,Women,Older,Mid
355,Men,Middle,Low
356,Women,Young,Mid
357,Women,Young,Mid
358,Women,Young,Mid
359,Women,Young,Mid
360,Women,Young,Mid
361,Women,Older,High
362,Women,Middle,Low
363,Women,Middle,Low
364,Women,Middle,High
365,Women,Middle,Mid
366,Men,Middle,Low
367,Women,Middle,Low
368,Women,Older,Mid
369,Men,Middle,Mid
370,Women,Older,Mid
371,Men,Middle,Low
372,Men,Middle,Low
373,Women,Young,Mid
374,Women,Older,High
375,Women,Young,High
376,Women,Older,Mid
377,Women,Young,Mid
378,Women,Middle,Low
379,Women,Older,Mid
380,Women,Young,Low
381,Women,Middle,Low
382,Men,Middle,Low
383,Women,Middle,High
384,Women,Young,Mid
385,Women,Older,Mid
386,Women,Older,Mid
387,Women,Young,Low
388,Men,Middle,Low
389,Women,Young,Low
390,Women,Young,High
391,Women,Young,Low
392,Women,Older,Low
393,Men,Middle,High
394,Women,Middle,High
395,Women,Young,Mid
396,Women,Young,Low
397,Women,Older,Low
398,Men,Middle,Low
399,Women,Young,Low
400,Women,Young,High
401,Women,Older,High
402,Women,Older,Mid
403,Women,Older,Mid
404,Women,Middle,Low
405,Women,Older,High
406,Women,Older,Mid
407,Men,Middle,Mid
408,Men,Middle,Low
409,Women,Older,Mid
410,Women,Young,Low
411,Women,Young,Mid
412,Women,Older,Mid
413,Women,Young,High
414,Women,Young,Low
415,Women,Young,Low
416,Women,Young,Low
417,Women,Older,Low
418,Women,Young,High
419,Men,Middle,Low
420,Women,Older,High
421,Women,Older,Mid
422,Men,Middle,High
423,Men,Middle,High
424,Women,Young,Low
425,Women,Young,Low
426,Women,Older,Low
427,Men,Middle,Low
428,Men,Middle,Low
429,Men,Middle,Low
430,Women,Older,Mid
431,Men,Middle,Low
432,Men,Middle,Low
433,Women,Young,Mid
434,Women,Young,Low
435,Men,Middle,Low
436,Women,Young,Low
437,Women,Middle,Low
438,Women,Older,Mid
439,Women,Older,Mid
440,Women,Middle,High
441,Women,Young,Low
442,Men,Middle,Low
443,Women,Middle,High
444,Women,Young,Low
445,Women,Middle,Mid
446,Women,Older,Mid
447,Men,Middle,Mid
448,Women,Young,Mid
449,Women,Older,High
450,Women,Older,High
451,Women,Middle,Mid
452,Men,Middle,Mid
453,Women,Young,Low
454,Men,Middle,Low
455,Women,Young,High
456,Women,Young,High
457,Women,Older,High
458,Men,Middle,Mid
459,Women,Young,Low
460,Women,Young,High
461,Women,Middle,High
462,Women,Young,Low
463,Women,Young,Mid
464,Women,Older,Mid
465,Women,Young,Low
466,Women,Young,Low
467,Women,Young,Low
468,Women,Older,Mid
469,Women,Older,High
470,Women,Middle,Mid
471,Women,Young,Low
472,Women,Older,Low
473,Women,Middle,Low
474,Women,Older,Mid
475,Women,Middle,Mid
476,Men,Middle,Mid
477,Women,Young,Low
478,Women,Older,Mid
479,Women,Older,Low
480,Women,Young,Low
481,Women,Middle,Mid
482,Men,Middle,Low
483,Women,Young,High
484,Women,Older,Low
485,Women,Young,Low
486,Men,Middle,Mid
487,Men,Middle,Low
488,Women,Young,Low
489,Women,Middle,Mid
490,Women,Middle,Mid
491,Women,Middle,High
492,Women,Young,Low
493,Women,Older,Mid
494,Women,Older,Mid
495,Women,Young,Low
496,Women,Older,Low
497,Women,Older,Low
498,Men,Middle,High
499,Women,Older,Low
500,Women,Older,Low
501,Women,Young,Mid
502,Men,Middle,High
503,Women,Middle,Mid
504,Women,Young,Low
505,Women,Older,High
506,Women,Older,High
507,Women,Young,High
508,Women,Older,High
509,Women,Older,High
510,Women,Young,Mid
511,Women,Middle,High
512,Women,Young,High
513,Women,Middle,Mid
514,Women,Middle,Low
515,Women,Young,Low
516,Women,Older,Low
517,Women,Middle,Mid
518,Women,Young,High
519,Women,Older,High
520,Women,Older,Mid
521,Women,Older,Mid
522,Women,Young,Low
523,Women,Older,Low
524,Women,Middle,High
525,Women,Middle,Mid
526,Women,Young,Low
527,Women,Young,Low
528,Women,Young,Mid
529,Women,Middle,Low
530,Women,Older,Mid
531,Women,Young,Low
532,Women,Young,Low
533,Women,Middle,High
534,Women,Young,Mid
535,Women,Middle,Low
536,Women,Young,High
537,Women,Older,Mid
538,Women,Middle,High
539,Men,Middle,Low
540,Women,Middle,Low
541,Women,Middle,High
542,Women,Young,Low
543,Women,Older,High
544,Women,Older,Low
545,Women,Older,Low
546,Women,Older,High
547,Women,Young,Mid
548,Women,Older,High
549,Men,Middle,Low
550,Women,Young,Low
551,Women,Young,Low
552,Women,Older,Mid
553,Women,Older,Low
554,Women,Young,Low
555,Women,Older,Mid
556,Women,Older,Low
557,Women,Young,Low
558,Women,Middle,Mid
559,Women,Middle,Low
560,Women,Middle,High
561,Women,Young,Low
562,Men,Middle,Mid
563,Women,Middle,Mid
564,Women,Older,Mid
565,Men,Middle,High
566,Women,Young,Low
567,Women,Young,Mid
568,Women,Young,Mid
569,Women,Older,Mid
570,Men,Middle,High
571,Women,Young,Mid
572,Women,Older,Mid
573,Men,Middle,Low
574,Women,Older,Mid
575,Women,Young,Low
576,Women,Middle,Mid
577,Women,Middle,Low
578,Women,Older,Low
579,Women,Older,Low
580,Women,Young,Mid
581,Women,Young,Low
582,Men,Middle,Mid
583,Women,Older,Mid
584,Women,Middle,Mid
585,Women,Older,High
586,Women,Young,Low
587,Women,Older,Mid
588,Women,Older,High
589,Women,Middle,Low
590,Women,Older,High
591,Women,Older,High
592,Women,Young,High
593,Women,Young,Low
594,Women,Middle,Mid
595,Women,Older,Mid
596,Women,Young,Low
597,Women,Middle,Mid
598,Women,Middle,Mid
599,Women,Middle,Low
600,Women,Middle,High
601,Men,Middle,Mid
602,Women,Young,Mid
603,Women,Older,Low
604,Men,Middle,Low
605,Men,Middle,Low
606,Women,Older,High
607,Women,Middle,High
608,Women,Young,Mid
609,Men,Middle,Low
610,Women,Older,High
611,Men,Middle,Mid
612,Women,Middle,High
613,Men,Middle,High
614,Women,Older,Low
615,Men,Middle,Low
616,Women,Older,High
617,Women,Older,Mid
618,Women,Young,Low
619,Men,Middle,Mid
620,Women,Older,Mid
621,Men,Middle,Low
622,Women,Older,High
623,Women,Older,Low
624,Women,Young,High
625,Women,Young,Low
626,Women,Young,Mid
627,Women,Older,Low
628,Women,Older,High
629,Men,Middle,Low
630,Women,Older,Mid
631,Women,Young,Mid
632,Women,Middle,High
633,Women,Older,High
634,Women,Older,High
635,Women,Young,Low
636,Women,Young,Mid
637,Women,Older,Low
638,Men,Middle,Low
639,Women,Young,Low
640,Women,Middle,Mid
641,Men,Middle,Low
642,Men,Middle,Mid
643,Men,Middle,Mid
644,Women,Older,High
645,Men,Middle,Low
646,Men,Middle,Low
647,Women,Middle,Low
648,Men,Middle,High
649,Women,Older,High
650,Women,Young,High
651,Women,Older,Low
652,Men,Middle,High
653,Women,Middle,Low
654,Women,Middle,Low
655,Women,Young,Low
656,Women,Older,High
657,Women,Young,Low
658,Women,Young,Low
659,Women,Older,Low
660,Women,Older,Mid
661,Women,Young,Low
662,Women,Middle,Low
663,Women,Young,Mid
664,Men,Middle,Low
665,Women,Older,High
666,Women,Young,Mid
667,Women,Young,Low
668,Women,Older,Mid
669,Women,Older,Mid
670,Women,Young,Low
671,Women,Older,Low
672,Men,Middle,Low
673,Women,Older,High
674,Women,Older,Low
675,Men,Middle,High
676,Women,Young,Low
677,Women,Middle,High
678,Women,Older,High
679,Women,Older,High
680,Women,Middle,Mid
681,Women,Middle,Low
682,Men,Middle,High
683,Women,Older,Mid
684,Men,Middle,High
685,Men,Middle,Mid
686,Women,Young,Mid
687,Women,Middle,Low
688,Women,Older,Low
689,Women,Older,High
690,Men,Middle,Mid
691,Men,Middle,Mid
692,Women,Older,Mid
693,Women,Young,Mid
694,Men,Middle,Mid
695,Women,Young,Low
696,Women,Young,Mid
697,Women,Older,Mid
698,Women,Young,Low
699,Women,Middle,Mid
700,Men,Middle,Low
701,Men,Middle,High
702,Women,Middle,Low
703,Women,Young,Mid
704,Women,Middle,Low
705,Women,Older,Mid
706,Women,Older,Mid
707,Women,Young,Low
708,Women,Young,Low
709,Women,Older,Low
710,Men,Middle,Low
711,Women,Young,Mid
712,Women,Older,High
713,Men,Middle,Mid
714,Men,Middle,Mid
715,Women,Young,Low
716,Women,Middle,High
717,Women,Middle,Mid
718,Men,Middle,Mid
719,Men,Middle,Low
720,Women,Young,Low
721,Women,Middle,Mid
722,Women,Older,High
723,Men,Middle,Mid
724,Women,Older,Low
725,Women,Older,Low
726,Women,Young,Mid
727,Women,Older,High
728,Women,Young,High
729,Women,Older,Mid
730,Women,Middle,Mid
731,Women,Older,Low
732,Men,Middle,Mid
733,Women,Older,Low
734,Men,Middle,High
735,Women,Older,Mid
736,Women,Young,High
737,Women,Older,Mid
738,Women,Middle,Low
739,Women,Young,Low
740,Women,Young,High
741,Women,Older,Low
742,Women,Young,Low
743,Men,Middle,High
744,Women,Young,Low
745,Women,Older,High
746,Women,Young,Low
747,Women,Older,Mid
748,Women,Middle,Low
749,Women,Young,High
750,Men,Middle,Mid
751,Men,Middle,Mid
752,Women,Middle,Mid
753,Women,Young,High
754,Women,Young,Low
755,Women,Older,Mid
756,Women,Older,High
757,Women,Older,Mid
758,Men,Middle,High
759,Women,Young,Low
760,Men,Middle,Mid
761,Women,Middle,Mid
762,Women,Young,Mid
763,Women,Young,High
764,Women,Young,Mid
765,Men,Middle,High
766,Women,Young,Mid
767,Men,Middle,Low
768,Women,Young,Low
769,Women,Middle,Mid
770,Women,Older,Low
771,Women,Middle,Low
772,Women,Middle,Mid
773,Women,Older,High
774,Women,Young,Low
775,Women,Young,Low
776,Women,Young,Low
777,Women,Older,High
778,Women,Young,Low
779,Men,Middle,Mid
780,Women,Older,Low
781,Women,Young,Low
782,Women,Older,Mid
783,Women,Older,Mid
784,Women,Young,Low
785,Women,Middle,Low
786,Women,Older,High
787,Women,Older,Mid
788,Men,Middle,High
789,Men,Middle,Mid
790,Women,Older,High
791,Women,Middle,Low
792,Women,Young,Mid
793,Women,Young,Low
794,Women,Middle,High
795,Men,Middle,Mid
796,Women,Older,High
797,Women,Middle,Low
798,Women,Older,High
799,Women,Older,Low
800,Women,Older,Mid
801,Men,Middle,Mid
802,Women,Young,Low
803,Women,Older,High
804,Women,Older,Mid
805,Men,Middle,Mid
806,Men,Middle,Mid
807,Men,Middle,Mid
808,Men,Middle,High
809,Men,Middle,High
810,Women,Older,Low
811,Women,Older,Mid
812,Women,Older,Mid
813,Men,Middle,Mid
814,Women,Older,High
815,Women,Older,High
816,Women,Young,Low
817,Women,Middle,Low
818,Women,Older,Low
819,Women,Middle,Low
820,Women,Young,Low
821,Men,Middle,High
822,Women,Young,Low
823,Women,Middle,Low
824,Men,Middle,Mid
825,Women,Older,Mid
826,Men,Middle,Low
827,Women,Middle,Low
828,Men,Middle,High
829,Women,Older,Low
830,Women,Older,Mid
831,Women,Young,Low
832,Women,Middle,High
833,Women,Young,Mid
834,Men,Middle,Mid
835,Men,Middle,Mid
836,Women,Older,Mid
837,Women,Older,Low
838,Women,Young,Mid
839,Men,Middle,High
840,Women,Young,Low
841,Women,Older,Low
842,Men,Middle,Mid
843,Women,Middle,Low
844,Women,Older,Low
845,Women,Middle,Mid
846,Women,Older,Low
847,Women,Middle,Mid
848,Men,Middle,Low
849,Men,Middle,High
850,Women,Young,High
851,Women,Older,High
852,Women,Older,Low
853,Women,Middle,Low
854,Women,Middle,High
855,Women,Middle,High
856,Women,Older,Mid
857,Women,Young,High
858,Women,Middle,Low
859,Women,Older,Low
860,Women,Older,High
861,Women,Middle,Low
862,Women,Older,Mid
863,Women,Young,Low
864,Women,Young,Low
865,Women,Middle,Low
866,Women,Young,Low
867,Men,Middle,Low
868,Women,Older,Mid
869,Women,Young,Low
870,Women,Young,Mid
871,Women,Older,Mid
872,Men,Middle,Low
873,Women,Older,High
874,Women,Older,Low
875,Women,Older,High
876,Women,Middle,Low
877,Women,Young,Mid
878,Women,Middle,Mid
879,Women,Young,Mid
880,Women,Middle,Mid
881,Women,Older,Low
882,Women,Older,Low
883,Women,Young,High
884,Women,Older,Low
885,Women,Older,Low
886,Women,Middle,Low
887,Women,Older,Low
888,Women,Middle,High
889,Women,Middle,Low
890,Women,Middle,High
891,Women,Older,Low
892,Men,Middle,Low
893,Women,Middle,Low
894,Men,Middle,Mid
895,Men,Middle,Mid
896,Women,Young,Mid
897,Women,Young,Low
898,Men,Middle,Low
899,Women,Young,Low
900,Women,Young,Low
901,Women,Young,Mid
902,Women,Middle,Low
903,Women,Young,Mid
904,Women,Older,Mid
905,Women,Young,Mid
906,Women,Older,Mid
907,Women,Middle,Low
908,Men,Middle,Low
909,Men,Middle,Low
910,Women,Middle,Mid
911,Women,Older,Mid
912,Women,Young,Mid
913,Women,Older,High
914,Women,Middle,Low
915,Men,Middle,Mid
916,Women,Older,Mid
917,Women,Older,Mid
918,Women,Older,Low
919,Women,Older,Mid
920,Women,Young,Low
921,Women,Older,Mid
922,Men,Middle,Mid
923,Women,Older,Low
924,Women,Middle,Mid
925,Women,Older,Mid
926,Women,Middle,High
927,Women,Young,Low
928,Women,Older,Mid
929,Women,Young,Mid
930,Men,Middle,Low
931,Women,Middle,Low
932,Women,Middle,Low
933,Women,Older,Low
934,Women,Young,Mid
935,Women,Young,Mid
936,Women,Older,Mid
937,Women,Young,Low
938,Women,Young,Mid
939,Women,Young,High
940,Women,Young,Low
941,Men,Middle,Low
942,Women,Young,Low
943,Women,Young,Mid
944,Women,Older,High
945,Women,Young,Mid
946,Women,Young,Low
947,Women,Older,High
948,Women,Young,High
949,Women,Young,Low
950,Women,Older,Low
951,Women,Older,Mid
952,Men,Middle,Mid
953,Women,Middle,Low
954,Women,Young,Mid
955,Women,Young,Low
956,Women,Young,Low
957,Women,Older,Low
958,Women,Middle,Low
959,Women,Older,High
960,Men,Middle,Low
961,Men,Middle,Low
962,Women,Middle,Low
963,Men,Middle,Mid
964,Women,Young,Mid
965,Women,Middle,Mid
966,Women,Young,Mid
967,Men,Middle,High
968,Women,Young,Mid
969,Women,Older,Mid
970,Women,Older,Low
971,Women,Middle,High
972,Women,Older,Mid
973,Women,Older,Low
974,Women,Older,Mid
975,Women,Young,Mid
976,Women,Young,Mid
977,Women,Older,High
978,Women,Older,High
979,Women,Older,Low
980,Women,Older,High
981,Women,Older,High
982,Men,Middle,Low
983,Men,Middle,High
984,Women,Young,Low
985,Women,Older,High
986,Women,Middle,High
987,Men,Middle,Low
988,Women,Older,Mid
989,Women,Older,Low
990,Men,Middle,Low
991,Women,Older,Mid
992,Men,Middle,Low
993,Women,Older,Mid
994,Women,Older,High
995,Women,Older,Mid
996,Women,Young,Low
997,Women,Older,Low
998,Women,Young,Mid
999,Women,Older,Mid
1000,Men,Middle,Low
1001,Women,Older,Mid
1002,Women,Middle,Low
1003,Women,Older,Mid
1004,Women,Young,High
1005,Women,Older,High
1006,Women,Older,Low
1007,Women,Older,High
1008,Men,Middle,Mid
1009,Women,Young,Low
1010,Women,Young,Low
1011,Women,Young,Mid
1012,Women,Middle,Low
1013,Women,Older,Low
1014,Men,Middle,High
1015,Women,Young,Low
1016,Women,Middle,High
1017,Women,Young,Mid
1018,Women,Older,Low
1019,Women,Young,Low
1020,Women,Middle,Low
1021,Women,Older,Mid
1022,Women,Young,Low
1023,Women,Young,Mid
1024,Women,Older,High
1025,Women,Young,High
1026,Women,Young,Mid
1027,Men,Middle,Low
1028,Men,Middle,Mid
1029,Men,Middle,Low
1030,Men,Middle,Low
1031,Women,Young,Low
1032,Women,Young,Low
1033,Women,Older,High
1034,Women,Young,Mid
1035,Men,Middle,High
1036,Women,Older,Mid
1037,Women,Middle,Low
1038,Women,Middle,Mid
1039,Women,Middle,Low
1040,Women,Young,Mid
1041,Women,Older,Mid
1042,Men,Middle,Low
1043,Men,Middle,Low
1044,Women,Young,High
1045,Women,Older,Mid
1046,Men,Middle,High
1047,Men,Middle,Low
1048,Women,Young,Low
1049,Women,Middle,Low
1050,Women,Older,High
1051,Men,Middle,Low
1052,Men,Middle,Low
1053,Women,Middle,High
1054,Women,Older,Mid
1055,Women,Older,High
1056,Women,Older,Low
1057,Women,Middle,Mid
1058,Women,Middle,Low
1059,Women,Older,High
1060,Women,Older,Low
1061,Women,Older,High
1062,Women,Young,High
1063,Men,Middle,Low
1064,Women,Young,Low
1065,Women,Older,Low
1066,Men,Middle,Mid
1067,Women,Older,High
1068,Women,Young,High
1069,Women,Young,Low
1070,Women,Young,Low
1071,Women,Young,Mid
1072,Women,Older,Mid
1073,Women,Older,Low
1074,Women,Older,Mid
1075,Women,Older,Mid
1076,Women,Young,Low
1077,Women,Older,High
1078,Women,Young,Mid
1079,Women,Older,Mid
1080,Women,Older,Low
1081,Women,Older,High
1082,Women,Young,Low
1083,Women,Young,Mid
1084,Men,Middle,Mid
1085,Women,Young,Low
1086,Women,Middle,Low
1087,Women,Older,Mid
1088,Women,Middle,High
1089,Women,Middle,Low
1090,Women,Middle,High
1091,Women,Young,Low
1092,Women,Young,High
1093,Men,Middle,Mid
1094,Women,Young,High
1095,Men,Middle,Mid
1096,Women,Middle,Mid
1097,Women,Older,Low
1098,Women,Older,Low
1099,Men,Middle,Low
1100,Women,Older,Mid
1101,Women,Older,Mid
1102,Women,Older,Low
1103,Women,Young,Mid
1104,Women,Middle,Low
1105,Women,Young,Low
1106,Women,Young,Mid
1107,Women,Middle,Mid
1108,Women,Older,Mid
1109,Women,Middle,Low
1110,Women,Older,High
1111,Women,Young,Low
1112,Women,Young,Low
1113,Women,Older,Low
1114,Women,Older,Mid
1115,Women,Older,High
1116,Women,Young,Mid
1117,Women,Young,Low
1118,Men,Middle,Low
1119,Women,Older,Mid
1120,Women,Middle,Mid
1121,Men,Middle,High
1122,Women,Young,Mid
1123,Women,Older,Low
1124,Women,Older,High
1125,Women,Middle,Mid
1126,Women,Older,High
1127,Women,Older,Low
1128,Women,Middle,Low
1129,Women,Middle,Low
1130,Women,Young,Low
1131,Women,Older,Low
1132,Women,Young,Mid
1133,Women,Young,High
1134,Men,Middle,Mid
1135,Women,Young,Low
1136,Women,Middle,Low
1137,Women,Young,Low
1138,Women,Middle,Mid
1139,Women,Older,Mid
1140,Women,Middle,Low
1141,Women,Older,Low
1142,Women,Middle,Low
1143,Women,Older,Low
1144,Women,Older,Mid
1145,Women,Young,Low
1146,Women,Middle,High
1147,Women,Older,Mid
1148,Women,Young,Mid
1149,Women,Young,Mid
1150,Women,Older,High
1151,Men,Middle,Low
1152,Women,Older,Low
1153,Women,Young,Mid
1154,Women,Older,High
1155,Men,Middle,Low
1156,Men,Middle,Low
1157,Women,Middle,Mid
1158,Men,Middle,Low
1159,Women,Older,Mid
1160,Women,Middle,Low
1161,Women,Young,Low
1162,Women,Older,Mid
1163,Women,Older,Low
1164,Women,Middle,High
1165,Women,Young,Mid
1166,Men,Middle,Low
1167,Men,Middle,Low
1168,Women,Young,Low
1169,Women,Middle,High
1170,Women,Middle,Low
1171,Women,Older,Low
1172,Women,Middle,Low
1173,Women,Young,High
1174,Women,Older,High
1175,Men,Middle,Low
1176,Women,Young,Mid
1177,Women,Older,Low
1178,Women,Young,Mid
1179,Women,Middle,High
1180,Men,Middle,Mid
1181,Women,Young,Mid
1182,Women,Older,Low
1183,Women,Older,High
1184,Women,Middle,Low
1185,Women,Middle,High
1186,Women,Older,Low
1187,Women,Young,Low
1188,Women,Middle,High
1189,Women,Older,Low
1190,Women,Young,Low
1191,Women,Older,High
1192,Men,Middle,Mid
1193,Women,Older,Low
1194,Women,Young,Low
1195,Women,Young,Low
1196,Women,Young,Low
1197,Women,Middle,Mid
1198,Women,Middle,Low
1199,Women,Young,Low
